316,ACBX02000017.22857.24376,98.13,214,4,0,3,216,356,143,4e-109,392
316,ACBX02000025.1.1217,98.13,214,4,0,3,216,356,143,4e-109,392
316,AB649279.1.1493,98.13,214,4,0,3,216,356,143,4e-109,392
316,AB064923.1.1494,98.13,214,4,0,3,216,356,143,4e-109,392
316,ACBX02000014.1230.2749,97.66,214,5,0,3,216,356,143,1e-106,385
316,L16472.1.1513,99.34,152,1,0,3,154,362,211,3e-79,293
316,AB547702.1.1491,99.34,152,1,0,3,154,354,203,3e-79,293
316,FJ545434.1.1453,99.33,149,1,0,3,151,336,188,2e-77,287
316,EU126661.1.1453,99.33,149,1,0,3,151,336,188,2e-77,287
316,CP002123.962840.964317,99.33,149,1,0,3,151,364,216,2e-77,287
321,DQ232528.1.1470,100,180,0,0,3,182,327,148,2e-98,357
321,AJ297216.1.1466,100,180,0,0,3,182,290,111,2e-98,357
321,AF429764.1.1430,100,180,0,0,3,182,289,110,2e-98,357
321,Z94012.1.1542,97.78,180,4,0,3,182,355,176,9e-89,325
321,AF088900.1.1484,97.78,180,4,0,3,182,342,163,9e-89,325
321,AF429765.1.1463,97.16,176,5,0,3,178,317,142,5e-84,309
321,AEVB01000043.3380.4915,97.16,176,5,0,3,178,355,180,5e-84,309
321,AB680295.1.1467,97.16,176,5,0,3,178,335,160,5e-84,309
321,AB002482.1.1457,97.16,176,5,0,3,178,307,132,5e-84,309
321,DQ232532.1.1470,96.59,176,6,0,3,178,327,152,1e-81,301
327,ACBX02000017.22857.24376,99.05,210,2,0,3,212,356,147,2e-111,400
327,ACBX02000025.1.1217,99.05,210,2,0,3,212,356,147,2e-111,400
327,AB649279.1.1493,99.05,210,2,0,3,212,356,147,2e-111,400
327,AB064923.1.1494,99.05,210,2,0,3,212,356,147,2e-111,400
327,ACBX02000014.1230.2749,98.57,210,3,0,3,212,356,147,4e-109,392
327,L16472.1.1513,94.01,217,9,4,3,217,362,148,8e-80,295
327,AB547702.1.1491,94.01,217,9,4,3,217,354,140,8e-80,295
327,AB547676.1.1493,98.68,152,2,0,3,154,354,203,7e-77,285
327,L16476.1.1474,98.03,152,3,0,3,154,362,211,5e-75,280
327,FJ545434.1.1453,98.66,149,2,0,3,151,336,188,5e-75,280
396,ACBX02000017.22857.24376,100,208,0,0,3,210,356,149,5e-115,412
396,ACBX02000025.1.1217,100,208,0,0,3,210,356,149,5e-115,412
396,AB649279.1.1493,100,208,0,0,3,210,356,149,5e-115,412
396,AB064923.1.1494,100,208,0,0,3,210,356,149,5e-115,412
396,ACBX02000014.1230.2749,99.52,208,1,0,3,210,356,149,1e-112,404
396,L16472.1.1513,94.76,210,7,4,3,210,362,155,2e-80,297
396,AB547702.1.1491,94.76,210,7,4,3,210,354,147,2e-80,297
396,AB547676.1.1493,98.68,152,2,0,3,154,354,203,7e-77,285
396,L16476.1.1474,98.03,152,3,0,3,154,362,211,4e-75,280
396,FJ545434.1.1453,98.66,149,2,0,3,151,336,188,4e-75,280
397,ACBX02000017.22857.24376,98.64,220,2,1,3,222,356,138,1e-112,404
397,ACBX02000025.1.1217,98.64,220,2,1,3,222,356,138,1e-112,404
397,AB649279.1.1493,98.64,220,2,1,3,222,356,138,1e-112,404
397,AB064923.1.1494,98.64,220,2,1,3,222,356,138,1e-112,404
